time,symbol,price
09:18:00,STOCK_5047,1182.0
09:18:00,STOCK_4063,1083.575
09:18:00,STOCK_3311,984.5
09:18:00,STOCK_5769,886.825
09:18:00,STOCK_3365,788.325
09:18:00,STOCK_4127,692.875
09:18:00,STOCK_4699,597.0
09:18:00,STOCK_4441,503.925
09:18:00,STOCK_4989,413.675
09:18:00,STOCK_3415,329.65
09:18:00,STOCK_3979,251.25
09:18:00,STOCK_3824,185.375
09:18:00,STOCK_5628,130.475
09:18:00,STOCK_3561,87.875
09:18:00,STOCK_5226,57.25
09:18:00,STOCK_4548,36.7
09:18:00,STOCK_4487,22.85
09:18:00,STOCK_5904,14.4
09:18:00,STOCK_5498,9.675
09:18:00,STOCK_3245,6.824999999999999
09:18:00,STOCK_4771,5.025
09:18:00,STOCK_4583,3.475
09:18:00,STOCK_4073,2.825
09:18:00,STOCK_5151,2.275
09:18:00,STOCK_4137,2.025
09:18:00,STOCK_4935,1.975
09:18:00,STOCK_4731,1.825
09:18:00,STOCK_4146,1.725
09:18:00,STOCK_3401,1.625
09:18:00,STOCK_3682,1.55
09:18:00,STOCK_6061,2.95
09:18:00,STOCK_4239,3.3
09:18:00,STOCK_6078,3.525
09:18:00,STOCK_4518,3.825
09:18:00,STOCK_3213,4.125
09:18:00,STOCK_3660,4.375
09:18:00,STOCK_5375,4.875
09:18:00,STOCK_3666,5.324999999999999
09:18:00,STOCK_4427,5.875
09:18:00,STOCK_4381,6.475
09:18:00,STOCK_3683,7.35
09:18:00,STOCK_3887,8.05
09:18:00,STOCK_4917,9.375
09:18:00,STOCK_5265,11.25
09:18:00,STOCK_4310,13.75
09:18:00,STOCK_3130,17.625
09:18:00,STOCK_3584,22.35
09:18:00,STOCK_5150,29.025
09:18:00,STOCK_3228,38.900000000000006
09:18:00,STOCK_3896,54.375
09:18:00,STOCK_4890,76.57499999999999
09:18:00,STOCK_5050,109.825
09:18:00,STOCK_4154,154.95
09:18:00,STOCK_4949,212.3
09:18:00,STOCK_4783,281.75
09:18:00,STOCK_3870,361.4
09:18:00,STOCK_3177,447.275
09:18:00,STOCK_3439,538.5999999999999
09:18:00,STOCK_5282,633.925
09:18:00,STOCK_5440,730.8499999999999
09:18:00,STOCK_4144,829.45
09:18:00,STOCK_4781,927.525
09:18:00,STOCK_3954,1026.85
09:18:00,STOCK_4060,1125.975
09:18:00,STOCK_4993,1230.2
09:18:00,STOCK_4450,1326.075
09:18:00,STOCK_3138,1432.6750000000002
09:18:00,STOCK_5651,1555.35
09:18:00,STOCK_5998,1633.925
09:18:00,STOCK_4198,1728.775
09:19:00,STOCK_5559,2171.3500000000004
09:19:00,STOCK_3848,2073.1
09:19:00,STOCK_3940,1976.025
09:19:00,STOCK_3643,1872.1
09:19:00,STOCK_3447,1770.8249999999998
09:19:00,STOCK_5461,1673.5749999999998
09:19:00,STOCK_4580,1574.875
09:19:00,STOCK_3140,1475.125
09:19:00,STOCK_3337,1374.775
09:19:00,STOCK_4688,1274.55
09:19:00,STOCK_5047,1176.375
09:19:00,STOCK_4063,1077.2
09:19:00,STOCK_3311,979.075
09:19:00,STOCK_5769,881.15
09:19:00,STOCK_3365,783.3
09:19:00,STOCK_4127,687.2750000000001
09:19:00,STOCK_4699,592.675
